VegPotID;VegPotName
1;FC1
2;FE1
3;FE2
4;FE3
5;FE4
6;FE5
7;FE6
8;FO1
9;ME1
10;MF1
11;MJ1
12;MJ2
13;MS1
14;MS2
15;MS4
16;MS6
17;RB1
18;RB2
19;RB5
20;RC3
21;RE1
22;RE2
23;RE3
24;RE4
25;RP1
26;RS1
27;RS2
28;RS3
29;RS4
30;RS5
31;RT1
